(مص. أسس)	تَأْسِيسٌ-تَأْسِيسٌ 
(مص. أبْصَرَ)	إبْصَارٌ-إبْصَارٌ 
(مص. أَبْطَأَ)	إبْطَاءٌ-إبْطَاءٌ 
(مص. أَبْطَلَ)	إِبْطَالٌ-إِبْطَالٌ 
(مص. أبْعَدَ)	إبْعَادٌ-إبْعَادٌ 
(مص. أبْغَضَ)	إبْغَاضٌ-إبْغَاضٌ 
(مص. أَبْغَى)	إِبْغَاءٌ-إِبْغَاءٌ 
(مص. أَبْقَى)	إِبْقَاءٌ-إِبْقَاءٌ 
(مص. أَبْكَرَ)	إِبْكَارٌ-إِبْكَارٌ 
(مص. أَبْكَى)	إِبْكاءٌ-إِبْكاءٌ 
(مص. أَبْلَجَ)	إِبْلاَجٌ-إِبْلاَجٌ 
(مص. أَبْلَغَ)	إِبْلاَغٌ-إِبْلاَغٌ 
(مص. أَبْلَى)	إِبْلاءٌ-إِبْلاءٌ 
(مص. أَبَّنَ)	تَأْبِينٌ-تَأْبِينٌ 
(مص. أبْهَجَ)	إبْهاجٌ-إبْهاجٌ 
(مص. أبْهَرَ)	إِبْهَارٌ-إِبْهَارٌ 
(مص. أَبْهَظَ)	إبْهاظٌ-إبْهاظٌ 
(مص. أَبْهَمَ). 	إِبْهَامٌ-إِبْهَامٌ 
(مص. أبْهَى)	إِبْهَاءٌ-إِبْهَاءٌ 
(مص. أبَى)	إبَاءٌ-إبَاءٌ 
(مص. أَتَاحَ)	إتَاحَةٌ-إتَاحَةٌ 
(مص. أَتْبَعَ)	إِ‏تْبَاعٌ-إِ‏تْبَاعٌ 
(مص. أَتْجَرَ)	إِتْجَارٌ-إِتْجَارٌ 
(مص. أتْحَفَ)	إتْحَافٌ-إتْحَافٌ 
(مص. أَتْخَمَ)	إِتْخَامٌ-إِتْخَامٌ 
(مص. أَتْرَحَ)	إِتْرَاحٌ-إِتْرَاحٌ 
(مص. أتْرعَ)	إِتْرَاعٌ-إِتْرَاعٌ 
(مص. أتَرَفَ)	إِتْرَافٌ-إِتْرَافٌ 
(مص. أَتْعَبَ)	إِتْعَابٌ-إِتْعَابٌ 
(مص. أَتْقَنَ)	إِتْقَانٌ-إِتْقَانٌ 
(مص. أَتْلَفَ)	إِتْلاَفٌ-إِتْلاَفٌ 
(مص. أَتَمَّ)	إتْمَامٌ-إتْمَامٌ 
(مص. أَتَى)	إِتْيانٌ-إِتْيانٌ 
(مص. أَثَابَ)	إثَابَةٌ-إثَابَةٌ 
(مص. أَثَارَ)	إِثَارَةٌ-إِثَارَةٌ 
(مص. أثْبَتَ)	إِثْبَاتٌ-إِثْبَاتٌ 
(مص. أَثْخَنَ)	إِثْخَانٌ-إِثْخَانٌ
(مص. أَثَّرَ)	تَأْثِيرٌ-تَأْثِيرٌ 
(مص. أَثْرَى)	إِثْرَاءٌ-إِثْرَاءٌ 
(مص. أَثَّفَ)	تَأْثِيفٌ-تَأْثِيفٌ 
(مص. أثْقَلَ)	إِثْقَال-إِثْقَال 
(مص. أَثلَثَ)	إثْلاَثٌ-إثْلاَثٌ 
(مص. أَثْلَجَ)	إِثْلاَجٌ-إِثْلاَجٌ 
(مص. أَثِمَ)	إِثْمٌ-إِثْمٌ 
(مص. أَثْمَرَ)	إِثمَارٌ-إِثمَارٌ 
(مص. أجَّ)	أَجِيجٌ-أَجِيجٌ 
(مص. أَجَادَ)	إِجَادَةٌ-إِجَادَةٌ 
(مص. أَجَارَ)	إجَارَةٌ-إجَارَةٌ 
(مص. أجَازَ)	إجَازَةٌ-إجَازَةٌ 
(مص. أَجاعَ)	إجاعَةٌ-إجاعَةٌ 
(مص. أَجَالَ)	إِجَالَةٌ-إِجَالَةٌ 
(مص. أَجْبَرَ)	إِجْبَارٌ-إِجْبَارٌ 
(مص. أَجَّجَ)	تَأْجِيجٌ-تَأْجِيجٌ 
(مص. أجْحَفَ)	إِجْحَافٌ-إِجْحَافٌ 
(مص. أجْدَبَ)	إِجْدابٌ-إِجْدابٌ 
(مص. أجْذَمَ)	إِجْذَامٌ-إِجْذَامٌ 
(مص. أَجَّرَ)	تَأْجِيرٌ-تَأْجِيرٌ 
(مص. أجْرَسَ)	إجْرَاسٌ-إجْرَاسٌ 
(مص. أجْرَمَ)	إِجْرَامٌ-إِجْرَامٌ 
(مص. أَجْرَى)	إِجْرَاءٌ-إِجْرَاءٌ 
(مص. أجْزَلَ)	إِجْزَالٌ-إِجْزَالٌ 
(مص. أجْزَى)	إِجْزَاءٌ-إِجْزَاءٌ 
(مص. أجْفَلَ)	إجْفَالٌ-إجْفَالٌ 
(مص. أجَلَّ)	إجْلالٌ-إجْلالٌ 
(مص. أَجَّلَ)	تَأْجِيلٌ-تَأْجِيلٌ 
(مص. أَجْلَبَ)	إِجْلاَبٌ-إِجْلاَبٌ 
(مص. أجْلَى)	إِجْلاَءٌ-إِجْلاَءٌ 
(مص. أَجْمَعَ)	إِجْمَاعٌ-إِجْمَاعٌ 
(مص. أَجْمَلَ)	إِجْمَالٌ-إِجْمَالٌ 
(مص. أجْنَحَ)	إِجْنَاحٌ-إِجْنَاحٌ 
(مص. أَجْهَدَ)	إجْهَادٌ-إجْهَادٌ 
(مص. أجْهَرَ)	إِجْهَارٌ-إِجْهَارٌ 
(مص. أَجْهَزَ)	إِجْهَازٌ-إِجْهَازٌ 
(مص. أجْهَشَ)	إِجْهَاشٌ-إِجْهَاشٌ 
(مص. أجْهَضَ)	إِجْهَاضٌ-إِجْهَاضٌ 
(مص. أَجْهَمَ)	إِجْهَامٌ-إِجْهَامٌ 
(مص. أحَارَ)	إِحَارَةٌ-إِحَارَةٌ 
(مص. أحَاطَ)	إحَاطَةٌ-إحَاطَةٌ 
(مص. أَحاقَ)	إحَاقَةٌ-إحَاقَةٌ 
(مص. أَحَالَ)	إِحالَةٌ-إِحالَةٌ 
(مص. أحْبَسَ)	إِحْبَاسٌ-إِحْبَاسٌ 
(مص. أحْبَطَ)	إِحْبَاطٌ-إِحْبَاطٌ 
(مص. أحْبَكَ)	إِحْبَاكٌ-إِحْبَاكٌ 
(مص. أَحْجَمَ)	إِحْجَامٌ-إِحْجَامٌ 
(مص. أَحْدَثَ)	إِحْدَاثٌ-إِحْدَاثٌ 
(مص. أحْدَقَ)	إِحْدَاقٌ-إِحْدَاقٌ 
(مص. أَحْرَجَ)	إِحْرَاجٌ-إِحْرَاجٌ 
(مص. أَحْرَزَ)	إِحْرَازٌ-إِحْرَازٌ 
(مص. أحْرَقَ)	إِحْرَاقٌ-إِحْرَاقٌ 
(مص. أحْرَمَ)	إِحْرَامٌ-إِحْرَامٌ 
(مص. أحْزَنَ)	إِحْزَانٌ-إِحْزَانٌ 
(مص. أَحَسَّ)	إِحْسَاسٌ-إِحْسَاسٌ 
(مص. أحْسَنَ)	إحْسَانٌ-إحْسَانٌ 
(مص. أحْصَى)	إِحْصَاءٌ-إِحْصَاءٌ 
(مص. أَحْضَرَ)	إحْضَارٌ-إحْضَارٌ 
(مص. أحَقَّ)	إِحْقَاقٌ-إِحْقَاقٌ 
(مص. أحْكَمَ)	إحْكَامٌ-إحْكَامٌ 
(مص. أحَلَّ)	إِحْلاَلٌ-إِحْلاَلٌ 
(مص. أحْلَفَ)	إِحْلاَفٌ-إِحْلاَفٌ 
(مص. أحْمَضَ)	إِحْمَاضٌ-إِحْمَاضٌ 
(مص. أحْمَى)	إحْمَاءٌ-إحْمَاءٌ 
(مص. أحْنَى)	إحْنَاءٌ-إحْنَاءٌ 
(مص. أَحْوَجَ)	إِحْوَاجٌ-إِحْوَاجٌ 
(مص. أَحْيَا)	إِحْيَاءٌ-إِحْيَاءٌ 
(مص. أخَافَ)	إِخَافَةٌ-إِخَافَةٌ 
(مص. أخْبَرَ)	إِخْبَارٌ-إِخْبَارٌ 
(مص. أَخْبَى)	إِخْبَاءٌ-إِخْبَاءٌ 
(مص. أَخْثَرَ)	إِخْثَارٌ-إِخْثَارٌ 
(مص. أخْجَلَ)	إِخْجالٌ-إِخْجالٌ 
(مص. أَخْدَعَ)	إِخْدَاعٌ-إِخْدَاعٌ 
(مص. أخَذَ)	أخْذٌ-أخْذٌ 
(مص. أَخَّرَ)	تَأْخِيرٌ-تَأْخِيرٌ 
(مص. أخْرَجَ)	إِخْرَاجٌ-إِخْرَاجٌ 
(مص. أخْرسَ)	إِخْرَاسٌ-إِخْرَاسٌ 
(مص. أخْزَى)	إِخْزَاءٌ-إِخْزَاءٌ 
(مص. أَخْصَبَ)	إِخْصَابٌ-إِخْصَابٌ 
(مص. أَخْضَبَ)	إِخْضَابٌ-إِخْضَابٌ 
(مص. أخْضَعَ)	إِخْضَاعٌ-إِخْضَاعٌ 
(مص. أخْطَرَ)	إِخْطَارٌ-إِخْطَارٌ 
(مص. أخْفَقَ)	إخفَاقٌ-إخفَاقٌ 
(مص. أخْفى)	إِخْفَاءٌ-إِخْفَاءٌ 
(مص. أخَلَّ)	إِخْلالٌ-إِخْلالٌ 
(مص. أخْلَدَ)	إِخْلاَدٌ-إِخْلاَدٌ 
(مص. أخْلَصَ)	إِخْلاَصٌ-إِخْلاَصٌ 
(مص. أخْلَفَ)	إِخْلاَفٌ-إِخْلاَفٌ 
(مص. أَخْمَدَ)	إِخْمادٌ-إِخْمادٌ 
(مص. أخْنَى)	إِخْنَاءٌ-إِخْنَاءٌ 
(مص. أدَارَ)	إِدَارَةٌ-إِدَارَةٌ 
(مص. أَدَانَ)	إِدَانَةٌ-إِدَانَةٌ 
(مص. أَدَّبَ)	تَأْدِيبٌ-تَأْدِيبٌ 
(مص. أدْبَرَ)	إِدْبَارٌ-إِدْبَارٌ 
(مص. أَدْجى)	إِدْجَاءٌ-إِدْجَاءٌ 
(مص. أَدْحَضَ)	إدْحَاضٌ-إدْحَاضٌ 
(مص. أَدْخَلَ)	إدْخَالٌ-إدْخَالٌ 
(مص. أَدَرَّ)	إدْرَارٌ-إدْرَارٌ 
(مص. أَدْرَجَ)	إِدْرَاجٌ-إِدْرَاجٌ 
(مص. أَدْرَكَ)	إِدْرَاكٌ-إِدْرَاكٌ 
(مص. أَدْفَأَ)	إِدْفَاءٌ-إِدْفَاءٌ 
(مص. أَدْلَى)	إِدْلاَءٌ-إِدْلاَءٌ 
(مص. أَدْمَجَ)	إِدْمَاجٌ-إِدْمَاجٌ 
(مص. أَدْمَنَ)	إِدْمَانٌ-إِدْمَانٌ 
(مص. أَدْمَى)	إِدْمَاءٌ-إِدْمَاءٌ 
(مص. أَدْنَى)	إِدْناءٌ-إِدْناءٌ 
(مص. أدَّى)	أَدَاءٌ-أَدَاءٌ 
(مص. أَذَاعَ)	إذَاعَةٌ-إذَاعَةٌ 
(مص. أذَاقَ)	إذَاقَةٌ-إذَاقَةٌ 
(مص. أَذْبَلَ)	إذْبَالٌ-إذْبَالٌ 
(مص. أَذْعَنَ)	إِذْعَانٌ-إِذْعَانٌ 
(مص. أَذْكَى)	إذْكَاءٌ-إذْكَاءٌ 
(مص. أَذَلَّ)	إِذْلاَلٌ-إِذْلاَلٌ 
(مص. أَذِنَ)	أَذَانٌ-أَذَانٌ 
(مص. أَذِنَ)	إِذْنٌ-إِذْنٌ 
(مص. أَذْهَلَ)	إِذْهَالٌ-إِذْهَالٌ 
(مص. أَذِيَ)	أَذىً-أَذىً 
(مص. أَرَاحَ)	إِرَاحَةٌ-إِرَاحَةٌ 
(مص. أَرَادَ)	إِرَادَةٌ-إِرَادَةٌ 
(مص. أراق)	إِرَاقَةٌ-إِرَاقَةٌ 
(مص. أَرْبَكَ)	إِرْبَاكٌ-إِرْبَاكٌ 
(مص. أَرِجَ)	أَرِيجٌ-أَرِيجٌ 
(مص. أَرْجَأَ)	إِرْجَاءٌ-إِرْجَاءٌ 
(مص. أَرْجَعَ)	إِرْجَاعٌ-إِرْجَاعٌ 
(مص. أَرْجَفَ)	إِرْجَافٌ-إِرْجَافٌ 
(مص. أَرَّخَ)	تَأْرِيخٌ-تَأْرِيخٌ 
(مص. أَرْخَمَ)	إِرْخَامٌ-إِرْخَامٌ 
(مص. أَرْخَى)	إِرْخَاءٌ-إِرْخَاءٌ 
(مص. أَرْسَلَ)	إِرْسَالٌ-إِرْسَالٌ 
(مص. أَرْسَى)	إرْسَاءٌ-إرْسَاءٌ 
(مص. أَرْشَدَ)	إِرْشَادٌ-إِرْشَادٌ 
(مص. أَرْضَعَ)	إِرْضاعٌ-إِرْضاعٌ 
(مص. أَرْضَى)	إِرْضاءٌ-إِرْضاءٌ 
(مص. أَرْطَبَ)	إِرْطَابٌ-إِرْطَابٌ 
(مص. أَرْعَدَ)	إِرْعَادٌ-إِرْعَادٌ 
(مص. أَرْعَشَ)	إِرْعَاشٌ-إِرْعَاشٌ 
(مص. أَرْعَى)	إرْعَاءٌ-إرْعَاءٌ 
(مص. أَرْغَدَ)	إِرْغَادٌ-إِرْغَادٌ 
(مص. أَرْغَمَ)	إِرْغَامٌ-إِرْغَامٌ 
(مص. أَرْغَى)	إِرْغَاءٌ-إِرْغَاءٌ 
(مص. أَرِقَ)	أَرَقٌ-أَرَقٌ 
(مص. أَرْقَدَ)	إِرْقَادٌ-إِرْقَادٌ 
(مص. أَرْقَصَ) 	إِرْقَاصٌ-إِرْقَاصٌ 
(مص. أَرْكَبَ)	إِرْكَابٌ-إِرْكَابٌ 
(مص. أَرْكَعَ)	إِرْكَاعٌ-إِرْكَاعٌ 
(مص. أَرْمَى)	إِرْمَاءٌ-إِرْمَاءٌ 
(مص. أَرْهَبَ)	إِرْهَابٌ-إِرْهَابٌ 
(مص. أَرْهَفَ)	إِرْهَافٌ-إِرْهَافٌ 
(مص. أَرْهَقَ)	إِرْهَاقٌ-إِرْهَاقٌ 
(مص. أَرْوَى)	إِرْوَاءٌ-إِرْوَاءٌ 
(مص. أَزَّ)	أَزِيزٌ-أَزِيزٌ 
(مص. أَزَاحَ)	إِزاحَةٌ-إِزاحَةٌ 
(مص. أَزَاغَ)	إِزَاغَة-إِزَاغَةٌ 
(مص. أَزَالَ)	إِزَالَةٌ-إِزَالَةٌ 
(مص. أَزْبَد)	إِزْبَادٌ-إِزْبَادٌ 
(مص. أَزَرَ)	أَزْرٌ-أَزْرٌ 
(مص. أَزْعَجَ)	إِزْعَاجٌ-إِزْعَاجٌ 
(مص. أَزْكَى)	إِزْكَاءٌ-إِزْكَاءٌ 
(مص. أَزْهَقَ)	إِزْهَاقٌ-إِزْهَاقٌ 
(مص. أَسَاءَ)	إِسَاءةٌ-إِسَاءةٌ 
(مص. أَسَالَ)	إِسَالَةٌ-إِسَالَةٌ 
(مص. أَسْبَرَ)	إِسْبَارٌ-إِسْبَارٌ 
(مص. أَسْبَغَ)	إِسْبَاغٌ-إِسْبَاغٌ 
(مص. أَسْدَلَ)	إِسْدالٌ-إِسْدالٌ 
(مص. أَسْدى)	إِسْداءٌ-إِسْداءٌ 
(مص. أَسَرَ)	أَسْرٌ-أَسْرٌ 
(مص. أَسْرَجَ)	إِسْراجٌ-إِسْراجٌ 
(مص. أَسْرَعَ)	إِسْراعٌ-إِسْراعٌ 
(مص. أَسْرَفَ)	إِسْرافٌ-إِسْرافٌ 
(مص. أَسْرَى)	إِسْراءٌ-إِسْراءٌ 
(مص. أَسْعَدَ)	إِسْعادٌ-إِسْعادٌ 
(مص. أَسْعَفَ)	إِسْعافٌ-إِسْعافٌ 
(مص. أَسِفَ)	أَسَفٌ-أَسَفٌ 
(مص. أَسْفَرَ)	إِسْفارٌ-إِسْفارٌ 
(مص. أَسْقَطَ)	إِسْقاطٌ-إِسْقاطٌ 
(مص. أَسْكَتَ)	إِسْكاتٌ-إِسْكاتٌ 
(مص. أَسْكَرَ)	إِسْكارٌ-إِسْكارٌ 
(مص. أَسْكَنَ)	إِسْكانٌ-إِسْكانٌ 
(مص. أَسْلَسَ)	إِسْلاسٌ-إِسْلاسٌ 
(مص. أَسْلَفَ)	إِسْلافٌ-إِسْلافٌ 
(مص. أَسْلَمَ)	إِسْلامٌ-إِسْلامٌ 
(مص. أَسْمَعَ)	إِسْماعٌ-إِسْماعٌ 
(مص. أَسْنَدَ)	إِسْنادٌ-إِسْنادٌ 
(مص. أَسْهَبَ)	إسْهابٌ-إسْهابٌ 
(مص. أسْهَلَ)	إِسْهالٌ-إِسْهالٌ 
(مص. أَسْهَمَ)	إِسْهامٌ-إِسْهامٌ 
(مص. أَشاحَ)	إِشاحَةٌ-إِشاحَةٌ 
(مص. أَشادَ)	إشادَةٌ-إشادَةٌ 
(مص. أَشارَ)	إشارَة-إشارَةٌ 
(مص. أشاعَ)	إشاعَةٌ-إشاعَةٌ 
(مص. أَشْبَعَ)	إِشْباعٌ-إِشْباعٌ 
(مص. أَشْحَذَ)	إشْحاذٌ-إشْحاذٌ 
(مص. أَشَّرَ)	تَأْشِيرَةٌ-تَأْشِيرَةٌ 
(مص. أَشْرَبَ)	إِشْرابٌ-إِشْرابٌ 
(مص. أَشْرَحَ)	إِشْراحٌ-إِشْراحٌ 
(مص. أَشْرَطَ)	إشْراطٌ-إشْراطٌ 
(مص. أَشْرَعَ)	إِشْراعٌ-إِشْراعٌ 
(مص. أَشْرَفَ)	إِشْرافٌ-إِشْرافٌ 
(مص. أَشْرَقَ)	إشْراقٌ-إشْراقٌ 
(مص. أَشْرَكَ)	إِشْراكٌ-إِشْراكٌ 
(مص. أَشَعَّ)	إِشْعاعٌ-إِشْعاعٌ 
(مص. أَشْعَرَ)	إِشْعارٌ-إِشْعارٌ 
(مص. أَشْعَلَ)	إِشْعالٌ-إِشْعالٌ 
(مص. أَشْغَلَ)	إِشْغالٌ-إِشْغالٌ 
(مص. أَشْفَقَ)	إِشْفاقٌ-إِشْفاقٌ 
(مص. أَشْفَى)	إِشْفاءٌ-إِشْفاءٌ 
(مص. أَشْقَى)	إِشْقاءٌ-إِشْقاءٌ 
(مص. أَشْكَلَ)	إِشْكالٌ-إِشْكالٌ 
(مص. أَشْهَرَ)	إِشْهارٌ-إِشْهارٌ 
(مص. أَصابَ)	إصابَةٌ-إصابَةٌ 
(مص. أصاتَ)	إِصاتَةٌ-إِصاتَةٌ 
(مص. أَصْبَحَ)	إصْباحٌ-إصْباحٌ 
(مص. أَصْبَرَ)	إِصْبارٌ-إِصْبارٌ 
(مص. أَصَحَّ)	إِصْحاحٌ-إِصْحاحٌ 
(مص. أَصْحَرَ)	إِصْحارٌ-إِصْحارٌ 
(مص. أَصْحى)	إِصْحاءٌ-إِصْحاءٌ 
(مص. أَصْدَأَ)	إِصْداءٌ-إِصْداءٌ 
(مص. أَصْدَرَ)	إِصْدارٌ-إِصْدارٌ 
(مص. أَصَرَّ)	إِصْرارٌ-إِصْرارٌ 
(مص. أَصْغَرَ)	إِصْغارٌ-إِصْغارٌ 
(مص. أَصْغَى)	إِصْغاءٌ-إِصْغاءٌ 
(مص. أًصْفَقَ)	إِصْفاقٌ-إِصْفاقٌ 
(مص. أَصْقَعَ)	إِصْقاعٌ-إِصْقاعٌ 
(مص. أَصُلَ)	أَصالَةٌ-أَصالَةٌ 
(مص. أَصَّلَ)	تَأْصِيلٌ-تَأْصِيلٌ 
(مص. أَصْلَحَ)	إِصْلاحٌ-إِصْلاحٌ 
(مص. أَضاءَ)	إِضاءةٌ-إِضاءةٌ 
(مص. أَضاعَ)	إِضاعَةٌ-إِضاعَةٌ 
(مص. أَضافَ)	إضافَةٌ-إضافَةٌ 
(مص. أَضْجَرَ)	إِضْجارٌ-إِضْجارٌ 
(مص. أَضْجَعَ)	إضْجاعٌ-إضْجاعٌ 
(مص. أَضْحَكَ)	إِضْحاكٌ-إِضْحاكٌ 
(مص. أَضْرَبَ)	إِضْرابٌ-إِضْرابٌ 
(مص. أَضْعَفَ)	إِضْعافٌ-إِضْعافٌ 
(مص. أَضْفَى)	إضْفاءٌ-إضْفاءٌ 
(مص. أَضَلَّ)	إِضْلالٌ-إِضْلالٌ 
(مص. أَضْمَرَ)	إضْمارٌ-إضْمارٌ 
(مص. أَضْنَى)	إضْناءٌ-إضْناءٌ 
(مص. أَطاحَ)	إِطاحَةٌ-إِطاحَةٌ 
(مص. أَطاعَ)	إِطاعَةٌ-إِطاعَةٌ 
(مص. أَطَاعَ)	طَاعَةٌ-طَاعَةٌ 
(مص. أَطالَ)	إِطالَةٌ-‎إِطالَةٌ 
(مص. أَطْبَقَ)	إِطْباقٌ-إِطْباقٌ 
(مص. أَطْرَبَ)	إِطْرابٌ-إِطْرابٌ 
(مص. أَطْرى)	إِطْراءٌ-إِطْراءٌ 
(مص. أَطْعَمَ)	إِطْعامٌ-إِطْعامٌ 
(مص. أَطْفَأَ)	إِطْفاءٌ-إِطْفاءٌ 
(مص. أَطَلَّ)	إِطْلالٌ-إِطْلالٌ 
(مص. أَطْلَعَ)	إِطْلاعٌ-إِطْلاعٌ 
(مص. أَطْلَقَ)	إِطْلاقٌ-إِطْلاقٌ 
(مص. أَطْنَبَ)	إِطْنابٌ-إِطْنابٌ 
(مص. أَظَلَّ)	إِظْلالٌ-إِظْلالٌ 
(مص. أَظْلَمَ)	إِظْلامٌ-إِظْلامٌ 
(مص. أَظْهَرَ)	إِظْهارٌ-إِظْهارٌ 
(مص. أعادَ)	إِعادَةٌ-إِعادَةٌ 
(مص. أَعاذَ)	إعاذَةٌ-إعاذَةٌ 
(مص. أعارَ)	إِعارَةٌ-إِعارَةٌ 
(مص. أَعاشَ)	إِعاشَةٌ-إِعاشَةٌ 
(مص. أَعاقَ)	إِعاقَةٌ-إِعاقَةٌ 
(مص. أَعالَ)	إِعالَةٌ-إِعالَةٌ 
(مص. أَعانَ)	إِعانَةٌ-إِعانَةٌ 
(مص. أُعْجِبَ)	إِعْجابٌ-إِعْجابٌ 
(مص. أَعْجَزَ)	إِعْجازٌ-إِعْجازٌ 
(مص. أَعْجَفَ)	إعْجافٌ-إعْجافٌ 
(مص. أَعْجَمَ)	إِعْجامٌ-إِعْجامٌ 
(مص. أَعَدَّ)	إِعْدادٌ-إِعْدادٌ 
(مص. أَعْدَمَ)	إِعْدامٌ-إِعْدامٌ 
(مص. أَعْرَبَ)	إِعْرابٌ-إِعْرابٌ 
(مص. أعْرَضَ)	إعْرَاضٌ-إعْرَاضٌ 
(مص. أعَزَّ)	إعْزَازٌ-إعْزَازٌ 
(مص. أعْشَبَ)	إِعْشَابٌ-إِعْشَابٌ 
(مص. أعْطَبَ)	إعْطَابٌ-إعْطَابٌ 
(مص. أعْطَشَ)	إعْطَاشٌ-إعْطَاشٌ 
(مص. أعْطَى)	إعْطَاءٌ-إعْطَاءٌ 
(مص. أعْفَى)	إعْفاءٌ-إعْفاءٌ 
(مص. أعْقَمَ)	إعْقَامٌ-إعْقَامٌ 
(مص. أعَلَّ)	إعْلاَلٌ-إعْلاَلٌ 
(مص. أَعْلَمَ)	إعْلاَمٌ-إعْلاَمٌ 
(مص. أعْلَنَ)	إعْلاَنٌ-إعْلاَنٌ 
(مص. أعْلَى)	إِعْلاءٌ-إِعْلاءٌ 
(مص. أعْمَدَ)	إِعْمَادٌ-إِعْمَادٌ 
(مص. أَعْمَرَ)	إعْمَارٌ-إعْمَارٌ 
(مص. أعْمَلَ)	إعْمَالٌ-إعْمَالٌ 
(مص. أعْمَى)	إعْمَاءٌ-إعْمَاءٌ 
(مص. أعْنَدَ)	إعْنَادٌ-إعْنَادٌ 
(مص. أعْيا)	إعْياءٌ-إعْياءٌ 
